KPI,Unit,Min,Max
blck_32,%,0,100
blck_33,%,0,100
dap_7b,min/GB,0,
frl_8a,%,0,100
tbf_16,%,0,100
tbf_36a,%,0,100
tbf_38c,#,0,
trf_212b,kB,0,
trf_213b,kB,0,
trf_214b,kB,0,
trf_215a,kB,0,
trf_231,#,0,
trf_232,#,0,
trf_233a,kb/s/E,,
trf_234a,kb/s/E,,
trf_235a,kb/s/E,,
trf_236,kb/s/E,,
trf_237c,E,,
ava_1g,%,0,100
ava_1h,%,0,100
ava_68,%,0,100
blck_1,%,0,100
ava_129,%,0,100
blck_33a,%,0,100
blck_33b,%,0,100
blck_5a,%,0,100
blck_5b,%,0,100
blck_8h,%,0,100
blck_8i,%,0,100
csf_1,%,0,100
dap_7a,min/GB,0,
dap_9,min/GB,0,
dcr_5,%,0,100
dcr_5a,%,0,100
dcr_5b,%,0,100
dcr_5c,%,0,100
dcr_8k,%,0,100
dlq_2a,%,0,100
frl_8b,%,0,100
gbip_6,%,0,100
gbip_8,%,0,100
gbip_10,%,0,100
hfr_2a,%,0,100
hfr_2b,%,0,100
hfr_55a,%,0,100
hfr_55c,%,0,100
hfr_68a,%,0,100
hfr_68c,%,0,100
llc_3,kb/s,0,
llc_3a,kb/s,0,
llc_4a,kb/s,0,
llc_11,kb/s,0,
nccr_13,%,0,100
nccr_13a,%,0,100
nccr_13b,%,0,100
sdr_4,%,0,100
tbf_16a,%,0,100
tbf_16b,%,0,100
tbf_38d,#,0,
tbf_61,%,0,100
tbf_64,#/min,0,
tbf_65,%,0,100
tbf_65a,%,0,100
tbf_65b,%,0,100
tbf_66,%,0,100
tbf_67,%,0,100
trf_11b,E,,
trf_120a,%,0,100
trf_120b,%,0,100
trf_120c,%,0,100
trf_120d,%,0,100
trf_121,%,0,100
trf_121a,%,0,100
trf_121b,%,0,100
trf_122a,%,0,100
trf_122b,%,0,100
trf_122c,%,0,100
trf_161h,E,,
trf_161i,E,,
trf_161j,E,,
trf_162f,E,,
trf_162g,E,,
trf_1d,E,,
trf_205b,E,,
trf_205d,E,,
trf_208b,E,,
trf_208c,E,,
trf_212c,kB,0,
trf_213c,kB,0,
trf_214a,kB,0,
trf_231a,#,0,
trf_232a,#,0,
trf_233c,kb/s/E,,
trf_234,kb/s/E,,
trf_235b,kb/s/E,,
trf_237b,E,,
trf_237d,E,,
