KPI,Unit,Min,Max
blck_32,blck_32,%,0,100
blck_33,blck_33,%,0,100
dap_7b,dap_7,min/GB,0,
frl_8a,frl_8,%,0,100
tbf_16,tbf_16,%,0,100
tbf_36a,tbf_36,%,0,100
tbf_38c,tbf_38,#,0,
trf_212b,trf_212,kB,0,
trf_213b,trf_213,kB,0,
trf_214b,trf_214,kB,0,
trf_215a,trf_215,kB,0,
trf_231,trf_231,#,0,
trf_232,trf_232,#,0,
trf_233a,trf_233,kb/s/E,,
trf_234a,trf_234,kb/s/E,,
trf_235a,trf_235,kb/s/E,,
trf_236,trf_236,kb/s/E,,
trf_237c,trf_237,E,,
ava_1g,ava_1,%,0,100
ava_1h,ava_1,%,0,100
ava_68,ava_68,%,0,100
blck_1,blck_1,%,0,100
ava_129,ava_129,%,0,100
blck_33a,blck_33,%,0,100
blck_33b,blck_33,%,0,100
blck_5a,blck_5,%,0,100
blck_5b,blck_5,%,0,100
blck_8h,blck_8,%,0,100
blck_8i,blck_8,%,0,100
csf_1,csf_1,%,0,100
dap_7a,dap_7,min/GB,0,
dap_9,dap_9,min/GB,0,
dcr_5,dcr_5,%,0,100
dcr_5a,dcr_5,%,0,100
dcr_5b,dcr_5,%,0,100
dcr_5c,dcr_5,%,0,100
dcr_8k,dcr_8,%,0,100
dlq_2a,dlq_2,%,0,100
frl_8b,frl_8,%,0,100
gbip_6,gbip_6,%,0,100
gbip_8,gbip_8,%,0,100
gbip_10,gbip_10,%,0,100
hfr_2a,hfr_2,%,0,100
hfr_2b,hfr_2,%,0,100
hfr_55a,hfr_55,%,0,100
hfr_55c,hfr_55,%,0,100
hfr_68a,hfr_68,%,0,100
hfr_68c,hfr_68,%,0,100
llc_3,llc_3,kb/s,0,
llc_3a,llc_3,kb/s,0,
llc_4a,llc_4,kb/s,0,
llc_11,llc_11,kb/s,0,
nccr_13,nccr_13,%,0,100
nccr_13a,nccr_13,%,0,100
nccr_13b,nccr_13,%,0,100
sdr_4,sdr_4,%,0,100
tbf_16a,tbf_16,%,0,100
tbf_16b,tbf_16,%,0,100
tbf_38d,tbf_38,#,0,
tbf_61,tbf_61,%,0,100
tbf_64,tbf_64,#/min,0,
tbf_65,tbf_65,%,0,100
tbf_65a,tbf_65,%,0,100
tbf_65b,tbf_65,%,0,100
tbf_66,tbf_66,%,0,100
tbf_67,tbf_67,%,0,100
trf_11b,trf_11,E,,
trf_120a,trf_120,%,0,100
trf_120b,trf_120,%,0,100
trf_120c,trf_120,%,0,100
trf_120d,trf_120,%,0,100
trf_121,trf_121,%,0,100
trf_121a,trf_121,%,0,100
trf_121b,trf_121,%,0,100
trf_122a,trf_122,%,0,100
trf_122b,trf_122,%,0,100
trf_122c,trf_122,%,0,100
trf_161h,trf_161,E,,
trf_161i,trf_161,E,,
trf_161j,trf_161,E,,
trf_162f,trf_162,E,,
trf_162g,trf_162,E,,
trf_1d,trf_1,E,,
trf_205b,trf_205,E,,
trf_205d,trf_205,E,,
trf_208b,trf_208,E,,
trf_208c,trf_208,E,,
trf_212c,trf_212,kB,0,
trf_213c,trf_213,kB,0,
trf_214a,trf_214,kB,0,
trf_231a,trf_231,#,0,
trf_232a,trf_232,#,0,
trf_233c,trf_233,kb/s/E,,
trf_234,trf_234,kb/s/E,,
trf_235b,trf_235,kb/s/E,,
trf_237b,trf_237,E,,
trf_237d,trf_237,E,,
trf_242,trf_242,%,0,100
trf_242a,trf_242,%,0,100
trf_242d,trf_242,%,0,100
trf_242e,trf_242,%,0,100
trf_242f,trf_242,%,0,100
