KPI,Unit
blck_32,%
blck_33,%
dap_7b,min/GB
frl_8a,%
tbf_16,%
tbf_36a,%
tbf_38c,#
trf_212b,kB
trf_213b,kB
trf_214b,kB
trf_215a,kB
trf_231,#
trf_232,#
trf_233a,kbps/TSL
trf_234a,kbps/TSL
trf_235a,kbps/TSL
trf_236,kbps/TSL
trf_237c,E
ava_1g,%
ava_1h,%
ava_68,%
blck_1,%
ava_129,%
blck_33a,%
blck_33b,%
blck_5a,%
blck_5b,%
blck_8h,%
blck_8i,%
csf_1,%
dap_7a,min/GB
dap_9,min/GB
dcr_5,%
dcr_5a,%
dcr_5b,%
dcr_5c,%
dcr_8k,%
dlq_2a,%
frl_8b,%
gbip_6,%
gbip_8,%
gbip_10,%
hfr_2a,%
hfr_2b,%
hfr_55a,%
hfr_55c,%
hfr_68a,%
hfr_68c,%
llc_3,kbps
llc_3a,kbps
llc_4a,kbps
llc_11,kbps
nccr_13,%
nccr_13a,%
nccr_13b,%
sdr_4,%
tbf_16a,%
tbf_16b,%
tbf_38d,#
tbf_61,%
tbf_64,# / min
tbf_65,%
tbf_65a,%
tbf_65b,%
tbf_66,%
tbf_67,%
trf_11b,E
trf_120a,%
trf_120b,%
trf_120c,%
trf_120d,%
trf_121,%
trf_121a,%
trf_121b,%
trf_122a,%
trf_122b,%
trf_122c,%
trf_161h,TSL(or erlang)
trf_161i,TSL(or erlang)
trf_161j,TSL(or erlang)
trf_162f,TSL(or erlang)
trf_162g,TSL(or erlang)
trf_1d,E
trf_205b,TSL(or erlang)
trf_205d,TSL(or erlang)
trf_208b,TSL(or erlang)
trf_208c,TSL(or erlang)
trf_212c,kB
trf_213c,kB
trf_214a,kB
trf_231a,#
trf_232a,#
trf_233c,kbps/TSL
trf_234,kbps/TSL
trf_235b,kbps/TSL
trf_237b,E
trf_237d,E
trf_242,%
trf_242a,%
trf_242d,%
trf_242e,%
trf_242f,%
trf_243,GB
trf_244,GB
trf_473a,%
trf_496a,E
trf_1010a,%
trf_1068,TSL(or erlang)
trf_1068a,TSL(or erlang)
trf_1069,TSL(or erlang)
trf_1069a,TSL(or erlang)
trf_1070,TSL(or erlang)
trf_1070a,TSL(or erlang)
trf_1071,E
trf_1072,E
ulq_2a,%
dtm_2,%
dtm_3,%
res_msc1b,%
res_msc1c,%
res_msc2b,%
res_msc2c,E
tra_msc71b,E
tra_msc84b,%
tra_msc85b,%
cds_85a,%
res_msc147b,%
res_msc147c,%
res_msc148b,%
res_msc148c,E
cds_148a,E
res_msc149b,%
res_msc149c,E
res_msc149d,E
msc_591c,%
cds_591a,%
msc_593a,%
cds_593a,%
msc_594a,%
cds_594a,%
msc_595a,%
msc_595b,%
cds_595a,%
msc_596a,%
cds_596a,%
msc_597a,#
cds_597a,#
msc_598a,s
cds_598a,s
msc_599a,%
cds_599a,%
msc_600a,%
cds_600a,%
msc_604a,%
cds_604a,%
msc_605a,%
cds_605a,%
msc_606a,%
cds_606a,%
msc_607a,#
cds_607a,#
msc_611a,#
cds_611a,#
msc_612a,%
msc_612b,%
msc_612c,%
msc_612d,%
cds_612a,%
msc_612e,%
cds_613a,%
msc_614a,%
cds_614a,%
msc_615a,%
msc_615b,%
cds_615a,%
msc_616a,%
cds_616a,%
msc_617a,%
cds_617a,%
msc_638a,#
msc_638b,#
msc_638c,%
msc_638d,%
msc_667a,%
msc_667b,%
msc_672a,#
cds_672a,#
msc_681a,%
msc_683a,#
msc_689a,%
msc_689b,%
msc_700a,%
msc_701a,%
msc_702a,%
msc_702b,%
msc_703a,#
msc_703b,#
msc_704a,#
msc_704b,#
msc_705a,#
msc_705b,#
msc_706a,#
msc_706b,#
msc_707a,#
msc_707b,#
msc_708a,E
msc_708b,E
cds_708a,E
msc_715a,#
msc_715b,#
msc_743a,min
msc_743b,min
msc_743c,min
msc_743d,min
msc_1292a,%
cds_1292a,%
msc_4009a,%
msc_5016b,%
cds_5016a,%
cmbh_1a,%
cmbh_2a,%
cmbh_3a,%
cmbh_4a,%
KPIIfInPkts,#
KPIIfOutPkts,#
KPIPortErrors,#
KPIPortDiscards,#
cgne_1a,%
cgne_2a,%
cgne_3a,%
cgne_4a,%
cgne_1b,%
cgne_2b,%
cgne_3b,kbps
cgne_4b,kbps
